molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL603469,Kd,57.0,nM,
CHEMBL608533,Kd,10000.0,nM,
CHEMBL576982,Kd,10000.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL535,Kd,10000.0,nM,
CHEMBL1240703,Kd,10000.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL491473,Kd,10000.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL450786,Kd,10000.0,nM,
CHEMBL1614701,Kd,10000.0,nM,
CHEMBL601719,Kd,230.0,nM,
CHEMBL1789941,Kd,1800.0,nM,
CHEMBL535,Kd,2400.0,nM,
CHEMBL513909,Kd,10000.0,nM,
CHEMBL1421,Kd,53.0,nM,
CHEMBL573339,Kd,10000.0,nM,
CHEMBL509032,Kd,0.85,nM,
CHEMBL502835,Kd,10000.0,nM,
CHEMBL553,Kd,10000.0,nM,
CHEMBL1908395,Kd,370.0,nM,
CHEMBL608533,Kd,10000.0,nM,
CHEMBL230011,Kd,10000.0,nM,
CHEMBL1173655,Kd,10000.0,nM,
CHEMBL1908396,Kd,2200.0,nM,
CHEMBL1230020,Kd,3100.0,nM,
CHEMBL1287853,Kd,410.0,nM,
CHEMBL1230609,Kd,10000.0,nM,
CHEMBL1908397,Kd,120.0,nM,
CHEMBL1241674,Kd,2.1,nM,
CHEMBL24828,Kd,240.0,nM,
CHEMBL379218,Kd,10000.0,nM,
CHEMBL103667,Kd,10000.0,nM,
CHEMBL428690,Kd,450.0,nM,
CHEMBL554,Kd,10000.0,nM,
CHEMBL101253,Kd,10000.0,nM,
CHEMBL572878,Kd,1100.0,nM,
CHEMBL1908391,Kd,10000.0,nM,
CHEMBL249697,Kd,10000.0,nM,
CHEMBL525191,Kd,1800.0,nM,
CHEMBL300138,Kd,10000.0,nM,
CHEMBL475251,Kd,720.0,nM,
CHEMBL119385,Kd,10000.0,nM,
CHEMBL223360,Kd,710.0,nM,
CHEMBL296468,Kd,10000.0,nM,
CHEMBL521851,Kd,10000.0,nM,
CHEMBL91829,Kd,10000.0,nM,
CHEMBL576982,Kd,10000.0,nM,
CHEMBL377300,Kd,10000.0,nM,
CHEMBL939,Kd,10000.0,nM,
CHEMBL384304,Kd,10000.0,nM,
CHEMBL1289926,Kd,2900.0,nM,
CHEMBL603469,Kd,57.0,nM,
CHEMBL464552,Kd,10000.0,nM,
CHEMBL608154,Kd,10000.0,nM,
CHEMBL10,Kd,3300.0,nM,
