molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL554,Kd,,,
CHEMBL607707,Kd,,,
CHEMBL101253,Kd,,,
CHEMBL535,Kd,900.0,nM,
CHEMBL124660,Kd,,,
CHEMBL91829,Kd,1500.0,nM,
CHEMBL1336,Kd,,,
CHEMBL14762,Kd,,,
CHEMBL428690,Kd,19.0,nM,
CHEMBL388978,Kd,0.05,nM,
CHEMBL278041,Kd,,,
CHEMBL10,Kd,,,
CHEMBL119385,Kd,,,
CHEMBL103667,Kd,,,
CHEMBL1725279,Kd,,,
CHEMBL941,Kd,,,
CHEMBL939,Kd,,,
CHEMBL553,Kd,,,
CHEMBL24828,Kd,,,
CHEMBL31965,Kd,,,
CHEMBL265470,IC50,0.12,ug.mL-1,
CHEMBL265470,IC50,120.0,nM,
CHEMBL223360,Kd,10000.0,nM,
CHEMBL572881,Kd,10000.0,nM,
CHEMBL574738,Kd,220.0,nM,
CHEMBL215152,Kd,10000.0,nM,
CHEMBL103667,Kd,10000.0,nM,
CHEMBL296468,Kd,10000.0,nM,
CHEMBL522892,Kd,3100.0,nM,
CHEMBL558752,Kd,10000.0,nM,
CHEMBL31965,Kd,10000.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL483321,Kd,10000.0,nM,
CHEMBL1421,Kd,10000.0,nM,
CHEMBL607707,Kd,5100.0,nM,
CHEMBL553,Kd,10000.0,nM,
CHEMBL428690,Kd,79.0,nM,
CHEMBL939,Kd,10000.0,nM,
CHEMBL261849,Kd,10000.0,nM,
CHEMBL477772,Kd,10000.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL191003,Kd,2900.0,nM,
CHEMBL554,Kd,10000.0,nM,
CHEMBL91829,Kd,5000.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL259084,Kd,10000.0,nM,
CHEMBL573339,Kd,10000.0,nM,
CHEMBL608533,Kd,130.0,nM,
CHEMBL101253,Kd,10000.0,nM,
CHEMBL14762,Kd,10000.0,nM,
CHEMBL278041,Kd,10000.0,nM,
CHEMBL10,Kd,10000.0,nM,
CHEMBL440084,Kd,10000.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL388978,Kd,0.039,nM,
CHEMBL1721885,Kd,850.0,nM,
CHEMBL535,Kd,420.0,nM,
CHEMBL572878,Kd,10000.0,nM,
CHEMBL119385,Kd,10000.0,nM,
CHEMBL24828,Kd,10000.0,nM,
CHEMBL603469,Kd,23.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL608533,Kd,130.0,nM,
CHEMBL535,Kd,420.0,nM,
CHEMBL1240703,Kd,760.0,nM,
CHEMBL576982,Kd,10000.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL215152,Kd,10000.0,nM,
CHEMBL105442,Kd,10000.0,nM,
CHEMBL180022,Kd,10000.0,nM,
CHEMBL386051,Kd,10000.0,nM,
CHEMBL1721885,Kd,850.0,nM,
CHEMBL491473,Kd,10000.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL450786,Kd,64.0,nM,
CHEMBL535,Kd,420.0,nM,
CHEMBL1614701,Kd,10000.0,nM,
CHEMBL601719,Kd,10000.0,nM,
CHEMBL1789941,Kd,10000.0,nM,
CHEMBL573339,Kd,10000.0,nM,
CHEMBL513909,Kd,22.0,nM,
CHEMBL1421,Kd,10000.0,nM,
CHEMBL1908395,Kd,2800.0,nM,
CHEMBL509032,Kd,50.0,nM,
