molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1277122,Ki,4720.0,nM,
CHEMBL1276946,Ki,1530.0,nM,
CHEMBL407734,IC50,5000.0,nM,
CHEMBL541018,IC50,9000.0,nM,
CHEMBL1517979,IC50,10000.0,nM,
CHEMBL1315444,IC50,50000.0,nM,
CHEMBL1927145,Ki,1280.0,nM,
CHEMBL1927146,Ki,365.0,nM,
CHEMBL1926690,Ki,2015.0,nM,
CHEMBL1927147,Ki,1340.0,nM,
CHEMBL1927148,Ki,645.0,nM,
CHEMBL1927149,Ki,1160.0,nM,
CHEMBL1927150,Ki,1150.0,nM,
CHEMBL1927151,Ki,1260.0,nM,
CHEMBL1927152,Ki,1760.0,nM,
CHEMBL1927153,Ki,1195.0,nM,
CHEMBL1927154,Ki,780.0,nM,
CHEMBL1927155,Ki,1020.0,nM,
CHEMBL1927156,Ki,1370.0,nM,
CHEMBL1927157,Ki,1140.0,nM,
CHEMBL1927158,Ki,510.0,nM,
CHEMBL1927159,Ki,820.0,nM,
CHEMBL1927160,Ki,433.0,nM,
CHEMBL3347551,IC50,30.0,nM,
CHEMBL3347550,IC50,30.0,nM,
CHEMBL3347584,IC50,100000.0,nM,
CHEMBL3347583,IC50,27000.0,nM,
CHEMBL3347567,IC50,79000.0,nM,
CHEMBL3347566,IC50,100000.0,nM,
CHEMBL3347555,IC50,,,
CHEMBL3347554,IC50,64000.0,nM,
CHEMBL3347551,IC50,32000.0,nM,
CHEMBL3347550,IC50,20000.0,nM,
CHEMBL3347549,IC50,51000.0,nM,
CHEMBL3347543,IC50,12000.0,nM,
CHEMBL3347542,IC50,40000.0,nM,
CHEMBL3347525,IC50,100000.0,nM,
CHEMBL3347524,IC50,100000.0,nM,
CHEMBL3347503,IC50,30000.0,nM,
CHEMBL3347502,IC50,78000.0,nM,
CHEMBL3347501,IC50,100000.0,nM,
CHEMBL3347492,IC50,25000.0,nM,
CHEMBL3347491,IC50,40000.0,nM,
CHEMBL3347584,IC50,100000.0,nM,
